,OSHPD_ID,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings
0,106014233,GI Hemorrhage,4.0,189.0,2.0,As Expected
1,106014233,Carotid Endarterectomy,0.0,12.0,0.0,As Expected
2,106014233,Acute Stroke Hemorrhagic,18.0,118.0,13.9,Better
3,106014233,Hip Fracture,3.0,109.0,2.2,As Expected
4,106014233,AMI,2.0,37.0,4.9,As Expected
5,106014233,Pneumonia,6.0,128.0,3.7,As Expected
6,106014233,PCI,,,,
7,106014233,Acute Stroke Ischemic,24.0,342.0,4.5,As Expected
8,106014233,Acute Stroke,61.0,533.0,7.8,As Expected
9,106014233,Acute Stroke Subarachnoid,19.0,73.0,25.7,As Expected
10,106014233,Pancreatic Resection,,,,
11,106014233,Heart Failure,2.0,235.0,0.8,Better
12,106050932,AMI,0.0,4.0,0.0,As Expected
13,106050932,Acute Stroke,2.0,19.0,19.7,As Expected
14,106050932,Acute Stroke Hemorrhagic,,,,
15,106050932,Acute Stroke Ischemic,2.0,18.0,11.7,As Expected
16,106050932,Heart Failure,0.0,35.0,0.0,As Expected
17,106050932,GI Hemorrhage,0.0,4.0,0.0,As Expected
18,106050932,PCI,,,,
19,106050932,Carotid Endarterectomy,,,,
20,106050932,Acute Stroke Subarachnoid,,,,
21,106050932,Hip Fracture,0.0,30.0,0.0,As Expected
22,106050932,Pancreatic Resection,,,,
23,106050932,Pneumonia,1.0,45.0,2.5,As Expected
24,106060870,Hip Fracture,,,,
25,106060870,GI Hemorrhage,,,,
26,106060870,PCI,,,,
27,106060870,Acute Stroke Subarachnoid,,,,
28,106060870,Acute Stroke,,,,
29,106060870,Heart Failure,0.0,3.0,0.0,As Expected
30,106060870,Acute Stroke Ischemic,,,,
31,106060870,Pneumonia,,,,
32,106060870,AMI,1.0,4.0,12.2,As Expected
33,106060870,Pancreatic Resection,,,,
34,106060870,Acute Stroke Hemorrhagic,,,,
35,106060870,Carotid Endarterectomy,,,,
36,106070924,Acute Stroke Ischemic,0.0,49.0,0.0,As Expected
37,106070924,GI Hemorrhage,0.0,92.0,0.0,As Expected
38,106070924,Carotid Endarterectomy,,,,
39,106070924,Acute Stroke Subarachnoid,,,,
40,106070924,Pneumonia,1.0,130.0,2.1,As Expected
41,106070924,Pancreatic Resection,,,,
42,106070924,Acute Stroke,0.0,52.0,0.0,As Expected
43,106070924,PCI,,,,
44,106070924,Hip Fracture,1.0,23.0,4.5,As Expected
45,106070924,Acute Stroke Hemorrhagic,0.0,3.0,0.0,As Expected
46,106070924,AMI,0.0,45.0,0.0,As Expected
47,106070924,Heart Failure,0.0,335.0,0.0,Better
48,106070990,Acute Stroke,6.0,194.0,3.8,Better
49,106070990,GI Hemorrhage,6.0,234.0,2.4,As Expected
50,106070990,Acute Stroke Hemorrhagic,4.0,40.0,12.0,As Expected
51,106070990,Hip Fracture,1.0,222.0,0.4,Better
52,106070990,Pancreatic Resection,,,,
53,106070990,Acute Stroke Ischemic,2.0,149.0,1.5,Better
54,106070990,Acute Stroke Subarachnoid,0.0,5.0,0.0,As Expected
55,106070990,AMI,15.0,216.0,7.3,As Expected
56,106070990,Heart Failure,11.0,368.0,2.2,As Expected
57,106070990,Elective PCI Mortality,0.0,171.0,0.0,As Expected
58,106070990,Elective PCI Emergency CABG,0.0,171.0,0.0,As Expected
59,106070990,PCI,5.0,181.0,3.4,As Expected
60,106070990,Pneumonia,13.0,161.0,7.1,Worse
61,106070990,Carotid Endarterectomy,0.0,38.0,0.0,As Expected
62,106070990,Elective PCI Stroke,0.0,171.0,0.0,As Expected
63,106074097,Pancreatic Resection,1.0,17.0,8.8,As Expected
64,106074097,AMI,2.0,61.0,2.1,As Expected
65,106074097,Hip Fracture,4.0,95.0,3.3,As Expected
66,106074097,Acute Stroke Ischemic,6.0,131.0,5.5,As Expected
67,106074097,Heart Failure,7.0,231.0,2.6,As Expected
68,106074097,Acute Stroke Hemorrhagic,5.0,31.0,16.6,As Expected
69,106074097,Carotid Endarterectomy,,,,
70,106074097,Pneumonia,2.0,109.0,1.7,As Expected
71,106074097,Acute Stroke,13.0,167.0,8.4,As Expected
72,106074097,Acute Stroke Subarachnoid,2.0,5.0,19.2,As Expected
73,106074097,PCI,,,,
74,106074097,GI Hemorrhage,4.0,151.0,3.0,As Expected
75,106100797,AMI,0.0,11.0,0.0,As Expected
76,106100797,Pneumonia,0.0,24.0,0.0,As Expected
77,106100797,GI Hemorrhage,,,,
78,106100797,Acute Stroke,0.0,20.0,0.0,As Expected
79,106100797,Acute Stroke Ischemic,0.0,20.0,0.0,As Expected
80,106100797,Acute Stroke Hemorrhagic,,,,
81,106100797,Pancreatic Resection,,,,
82,106100797,PCI,,,,
83,106100797,Acute Stroke Subarachnoid,,,,
84,106100797,Heart Failure,0.0,13.0,0.0,As Expected
85,106100797,Hip Fracture,,,,
86,106100797,Carotid Endarterectomy,,,,
87,106110889,Acute Stroke Subarachnoid,,,,
88,106110889,Carotid Endarterectomy,,,,
89,106110889,Acute Stroke Ischemic,,,,
90,106110889,Heart Failure,0.0,5.0,0.0,As Expected
91,106110889,Acute Stroke,,,,
92,106110889,AMI,,,,
93,106110889,Hip Fracture,,,,
94,106110889,PCI,,,,
95,106110889,Acute Stroke Hemorrhagic,,,,
96,106110889,Pancreatic Resection,,,,
97,106110889,Pneumonia,0.0,27.0,0.0,As Expected
98,106110889,GI Hemorrhage,,,,
99,106130699,Acute Stroke,4.0,114.0,8.2,As Expected
100,106130699,Heart Failure,7.0,178.0,3.6,As Expected
101,106130699,AMI,2.0,28.0,5.1,As Expected
102,106130699,Pancreatic Resection,,,,
103,106130699,Acute Stroke Ischemic,3.0,113.0,3.4,As Expected
104,106130699,Hip Fracture,1.0,51.0,2.6,As Expected
105,106130699,GI Hemorrhage,5.0,120.0,5.4,As Expected
106,106130699,Acute Stroke Hemorrhagic,,,,
107,106130699,Pneumonia,9.0,209.0,3.8,As Expected
108,106130699,PCI,,,,
109,106130699,Acute Stroke Subarachnoid,,,,
110,106130699,Carotid Endarterectomy,,,,
111,106150706,Heart Failure,4.0,80.0,4.1,As Expected
112,106150706,GI Hemorrhage,0.0,32.0,0.0,As Expected
113,106150706,Carotid Endarterectomy,,,,
114,106150706,Hip Fracture,0.0,13.0,0.0,As Expected
115,106150706,Pneumonia,1.0,75.0,1.5,As Expected
116,106150706,Acute Stroke Ischemic,0.0,8.0,0.0,As Expected
117,106150706,Acute Stroke,0.0,8.0,0.0,As Expected
118,106150706,PCI,,,,
119,106150706,AMI,1.0,9.0,3.8,As Expected
120,106150706,Acute Stroke Subarachnoid,,,,
121,106150706,Pancreatic Resection,,,,
122,106150706,Acute Stroke Hemorrhagic,,,,
123,106164029,Acute Stroke Ischemic,6.0,159.0,5.5,As Expected
124,106164029,AMI,4.0,141.0,2.5,Better
125,106164029,Carotid Endarterectomy,0.0,7.0,0.0,As Expected
126,106164029,Acute Stroke,7.0,163.0,10.1,As Expected
127,106164029,Acute Stroke Hemorrhagic,1.0,4.0,25.7,As Expected
128,106164029,GI Hemorrhage,2.0,189.0,1.1,As Expected
129,106164029,Pancreatic Resection,,,,
130,106164029,Heart Failure,21.0,441.0,5.0,Worse
131,106164029,Pneumonia,14.0,364.0,5.0,As Expected
132,106164029,PCI,,,,
133,106164029,Hip Fracture,2.0,92.0,2.5,As Expected
134,106164029,Acute Stroke Subarachnoid,,,,
135,106190017,Hip Fracture,1.0,36.0,4.0,As Expected
136,106190017,PCI,,,,
137,106190017,Pancreatic Resection,,,,
138,106190017,Acute Stroke Subarachnoid,,,,
139,106190017,AMI,3.0,35.0,3.7,As Expected
140,106190017,Heart Failure,5.0,220.0,2.2,As Expected
141,106190017,Acute Stroke Hemorrhagic,0.0,14.0,0.0,As Expected
142,106190017,Acute Stroke Ischemic,1.0,63.0,2.8,As Expected
143,106190017,Carotid Endarterectomy,,,,
144,106190017,GI Hemorrhage,0.0,152.0,0.0,As Expected
145,106190017,Acute Stroke,1.0,78.0,3.3,As Expected
146,106190017,Pneumonia,7.0,215.0,3.1,As Expected
147,106190053,GI Hemorrhage,6.0,195.0,2.8,As Expected
148,106190053,Heart Failure,9.0,363.0,3.4,As Expected
149,106190053,Pancreatic Resection,,,,
150,106190053,Hip Fracture,0.0,45.0,0.0,As Expected
151,106190053,Acute Stroke Subarachnoid,2.0,4.0,23.0,As Expected
152,106190053,Isolated CABG Operative Mortality,1.0,54.0,0.89,As Expected
153,106190053,Acute Stroke,22.0,169.0,9.9,As Expected
154,106190053,AMI,9.0,192.0,6.5,As Expected
155,106190053,Acute Stroke Hemorrhagic,15.0,55.0,23.5,As Expected
156,106190053,Acute Stroke Ischemic,5.0,110.0,5.1,As Expected
157,106190053,Pneumonia,9.0,202.0,4.6,As Expected
158,106190053,PCI,5.0,136.0,4.3,As Expected
159,106190053,Carotid Endarterectomy,1.0,13.0,3.6,As Expected
160,106190110,AMI,3.0,69.0,5.0,As Expected
161,106190110,Acute Stroke,2.0,73.0,6.0,As Expected
162,106190110,Acute Stroke Hemorrhagic,1.0,3.0,95.2,As Expected
163,106190110,Acute Stroke Ischemic,1.0,70.0,1.8,As Expected
164,106190110,Acute Stroke Subarachnoid,,,,
165,106190110,Carotid Endarterectomy,0.0,6.0,0.0,As Expected
166,106190110,GI Hemorrhage,3.0,147.0,1.7,As Expected
167,106190110,Heart Failure,3.0,239.0,1.5,As Expected
168,106190110,Hip Fracture,1.0,30.0,3.3,As Expected
169,106190110,PCI,0.0,51.0,0.0,As Expected
170,106190110,Pancreatic Resection,,,,
171,106190110,Pneumonia,7.0,188.0,3.6,As Expected
172,106190148,Acute Stroke,12.0,277.0,6.0,As Expected
173,106190148,Carotid Endarterectomy,0.0,6.0,0.0,As Expected
174,106190148,Acute Stroke Hemorrhagic,8.0,43.0,20.5,As Expected
175,106190148,Acute Stroke Subarachnoid,0.0,4.0,0.0,As Expected
176,106190148,Pneumonia,1.0,261.0,0.5,Better
177,106190148,Heart Failure,9.0,1195.0,0.9,Better
178,106190148,Hip Fracture,1.0,42.0,1.1,As Expected
179,106190148,Isolated CABG Operative Mortality,2.0,35.0,4.81,As Expected
180,106190148,AMI,7.0,248.0,2.2,Better
181,106190148,Pancreatic Resection,,,,
182,106190148,PCI,2.0,152.0,1.4,As Expected
183,106190148,Acute Stroke Ischemic,4.0,230.0,2.1,As Expected
184,106190148,GI Hemorrhage,5.0,383.0,1.3,As Expected
185,106190197,Acute Stroke,2.0,20.0,28.8,As Expected
186,106190197,Acute Stroke Hemorrhagic,,,,
187,106190197,Carotid Endarterectomy,,,,
188,106190197,Pneumonia,0.0,96.0,0.0,As Expected
189,106190197,Hip Fracture,0.0,8.0,0.0,As Expected
190,106190197,AMI,1.0,64.0,1.8,As Expected
191,106190197,Pancreatic Resection,,,,
192,106190197,PCI,,,,
193,106190197,Acute Stroke Ischemic,2.0,19.0,16.7,As Expected
194,106190197,GI Hemorrhage,3.0,66.0,7.7,As Expected
195,106190197,Heart Failure,5.0,201.0,2.8,As Expected
