OSHPD_ID,FacilityName,FacilityType,Address,Address2,City,State,ZIP,county,FACILITY_LEVEL_DESC,TOTAL_NUMBER_BEDS,ER_SERVICE_LEVEL_DESC,FACILITY_STATUS_DESC,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC
306370021,SAN YSIDRO HEALTH MOUNTAIN HEALTH FAMILY MEDICINE,Clinic - Federally Qualified Health Center (FQHC),1388 BUCKMAN SPRINGS RD,,CAMPO,CA,91906,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370856,VISTA COMMUNITY CLINIC,Clinic - Federally Qualified Health Center (FQHC),1000 VALE TERRACE DR,,VISTA,CA,92084,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106190782,TARZANA TREATMENT CT,Clinic - Hospital Based or Independent,1130 1/2 S HOOVER ST,,LOS ANGELES,CA,90006,Los Angeles,Parent Facility,60.0,Not Applicable,Open,Hospital,Acute Psychiatric Hospital
306374450,NESTOR COMMUNITY HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),1016 OUTER RD,,SAN DIEGO,CA,92154,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374553,SAN DIEGO FAMILY CARE,Clinic - Federally Qualified Health Center (FQHC),7011 LINDA VISTA RD,,SAN DIEGO,CA,92111,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374260,GROSSMONT SPRING VALLEY FAMILY HLTH CTRS INC,Clinic - Federally Qualified Health Center (FQHC),8788 JAMACHA RD,,SPRING VALLEY,CA,91977,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370024,CITY HEIGHTS FAMILY HEALTH CENTERS INC,Clinic - Federally Qualified Health Center (FQHC),5454 EL CAJON BLVD,,SAN DIEGO,CA,92115,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370507,SAN YSIDRO HEALTH MATERNAL AND CHILD HEALTH CTR,Clinic - Federally Qualified Health Center (FQHC),4050 BEYER BLVD,,SAN YSIDRO,CA,92173,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374018,ST VINCENT DE PAUL VILLAGE FAMILY HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),1501 IMPERIAL AVE,,SAN DIEGO,CA,92101,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374160,NORTH PARK FAMILY HEALTH CENTERS,Clinic - Federally Qualified Health Center (FQHC),3544 30TH ST,,SAN DIEGO,CA,92104,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374549,CENTRO MEDICO EL CAJON,Clinic - Federally Qualified Health Center (FQHC),133 W MAIN ST STE 100,,EL CAJON,CA,92020,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374436,LEMON GROVE FAMILY HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),7592 BROADWAY,,LEMON GROVE,CA,91945,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370738,LINDA VISTA HEALTH CARE CTR,Clinic - Federally Qualified Health Center (FQHC),6973 LINDA VISTA RD,,SAN DIEGO,CA,92111,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374438,LOGAN HEIGHTS FAMILY COUNSELING CENTER,Clinic - Federally Qualified Health Center (FQHC),2204 NATIONAL AVE,,SAN DIEGO,CA,92113,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306371511,NEIGHBORHOOD HEALTHCARE EL CAJON,Clinic - Federally Qualified Health Center (FQHC),855 E MADISON AVE,,EL CAJON,CA,92020,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306334730,TRUECARE,Clinic - Federally Qualified Health Center (FQHC),150 VALPREDA RD,,SAN MARCOS,CA,92069,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370410,FAMILY HEALTH CTR SD NATIONAL CITY,Clinic - Federally Qualified Health Center (FQHC),1000 EUCLID AVE,,NATIONAL CITY,CA,91950,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374494,DTFHC AT CONNECTIONS,Clinic - Federally Qualified Health Center (FQHC),1250 6TH AVE STE 100,,SAN DIEGO,CA,92101,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370020,SAN YSIDRO HEALTH ALPINE FAMILY MEDICINE,Clinic - Federally Qualified Health Center (FQHC),1620 ALPINE BLVD STE 110,,ALPINE,CA,91901,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374432,SAN YSIDRO HEALTH PARADISE HILLS,Clinic - Federally Qualified Health Center (FQHC),2400 E 8TH ST STE A,,NATIONAL CITY,CA,91950,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374164,NEIGHBORHOOD HEALTHCARE LAKESIDE,Clinic - Federally Qualified Health Center (FQHC),10039 VINE ST,,LAKESIDE,CA,92040,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374534,HILLCREST FAMILY HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),4094 4TH AVE,,SAN DIEGO,CA,92103,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374031,VISTA COMMUNITY CLINIC GRAPEVINE,Clinic - Federally Qualified Health Center (FQHC),134 GRAPEVINE RD,,VISTA,CA,92083,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370936,MID-CITY COMMUNITY CLINIC,Clinic - Federally Qualified Health Center (FQHC),4290 POLK AVE,,SAN DIEGO,CA,92105,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
