,PROVIDER TAXONOMY CODE,MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION,"PROVIDER TAXONOMY DESCRIPTION:  TYPE, CLASSIFICATION, SPECIALIZATION",MEDICARE SPECIALTY CODE
0,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
1,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
2,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
3,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
4,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
5,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
6,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
7,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
8,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
9,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
10,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
11,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
12,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
13,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
14,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
15,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
16,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
17,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
18,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
19,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
20,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
21,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
22,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
23,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
24,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
25,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
26,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
27,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
28,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
29,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
30,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
31,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
32,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
33,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
34,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
35,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
36,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
37,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
38,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
39,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
40,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
41,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
42,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
43,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
44,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
45,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
46,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
47,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
48,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
49,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
50,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
51,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
52,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
53,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
54,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
55,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
56,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
57,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
58,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
59,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
60,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
61,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
62,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
