FirstName,LastName,ManagedCarePlan,SubNetwork,NPI,Taxonomy,MCNAProviderGroup,MCNAProviderType,LicensureType,PrimaryCare,Specialist,SeesChildren,Telehealth,BHIndicator,OSHPD_ID
DANI,CASTLEBERRY,Blue Shield of California Promise,Blue Shield of California Promise,1053706853,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306370021
Yvonne,Scarlett,Blue Shield of California Promise,Blue Shield of California Promise,1083026223,171100000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306370856
NINOSKA,FONSECA,Blue Shield of California Promise,Blue Shield of California Promise,1558493221,106H00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,OTH,N,Y,Both,No,,106190782
Carolyn,Martinez,Blue Shield of California Promise,Blue Shield of California Promise,1609101997,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,Both,,306374450
BRANKO,MATICH,Blue Shield of California Promise,Blue Shield of California Promise,1023437704,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374553
Ashley,Doruelo,Blue Shield of California Promise,Blue Shield of California Promise,1033613732,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306374260
KILHYO,BAEK,Blue Shield of California Promise,Blue Shield of California Promise,1053776914,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370856
Lisa,Leonard,Blue Shield of California Promise,Blue Shield of California Promise,1477588598,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,Y,Both,No,,306370856
DANIELA,SALAZAR,Blue Shield of California Promise,Blue Shield of California Promise,1487286803,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306370024
George,Cummings,Blue Shield of California Promise,Blue Shield of California Promise,1497236384,225100000X,Ancillary Provider,Physical Therapist,OTH,N,Y,Both,No,,306370024
ANDREA,HERMAN,Blue Shield of California Promise,Blue Shield of California Promise,1518970037,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306370507
