OSHPD_ID,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings
106010735,Pneumonia,2.0,76.0,3.0,As Expected
106010735,Heart Failure,2.0,111.0,2.1,As Expected
106010735,GI Hemorrhage,5.0,83.0,4.6,As Expected
106010735,PCI,,,,
106010735,Acute Stroke Subarachnoid,,,,
106010735,Acute Stroke Hemorrhagic,5.0,9.0,48.9,Worse
106010735,AMI,3.0,17.0,16.1,As Expected
106010735,Acute Stroke,9.0,74.0,23.6,Worse
106010735,Acute Stroke Ischemic,4.0,65.0,15.2,As Expected
106010735,Carotid Endarterectomy,,,,
106010735,Hip Fracture,0.0,31.0,0.0,As Expected
106010735,Pancreatic Resection,,,,
106010739,Acute Stroke Hemorrhagic,20.0,85.0,22.2,As Expected
106010739,Hip Fracture,0.0,90.0,0.0,As Expected
106010739,Acute Stroke,24.0,216.0,9.0,As Expected
106010739,PCI,,,,
106010739,Pancreatic Resection,,,,
106010739,AMI,1.0,18.0,4.6,As Expected
106010739,Acute Stroke Subarachnoid,3.0,5.0,34.1,As Expected
106010739,Heart Failure,3.0,268.0,1.3,As Expected
106010739,Pneumonia,1.0,99.0,0.9,As Expected
106010739,Acute Stroke Ischemic,1.0,126.0,1.6,As Expected
106010739,GI Hemorrhage,8.0,233.0,4.7,As Expected
106010739,Carotid Endarterectomy,,,,
106010846,Acute Stroke Ischemic,6.0,106.0,5.8,As Expected
106010846,AMI,12.0,158.0,10.5,As Expected
106010846,Hip Fracture,1.0,38.0,3.6,As Expected
106010846,PCI,10.0,132.0,10.1,Worse
106010846,Pancreatic Resection,0.0,4.0,0.0,As Expected
106010846,Acute Stroke,17.0,147.0,10.6,As Expected
106010846,Acute Stroke Hemorrhagic,10.0,36.0,29.4,As Expected
106010846,Heart Failure,1.0,317.0,0.7,As Expected
106010846,Acute Stroke Subarachnoid,1.0,5.0,10.2,As Expected
106010846,Carotid Endarterectomy,0.0,5.0,0.0,As Expected
106010846,Pneumonia,0.0,127.0,0.0,As Expected
106010846,GI Hemorrhage,4.0,147.0,4.4,As Expected
106010937,Carotid Endarterectomy,0.0,12.0,0.0,As Expected
106010937,Acute Stroke,17.0,303.0,9.0,As Expected
106010937,GI Hemorrhage,4.0,301.0,1.7,As Expected
106010937,AMI,19.0,454.0,4.9,As Expected
106010937,Acute Stroke Hemorrhagic,3.0,24.0,13.9,As Expected
106010937,Pancreatic Resection,0.0,11.0,0.0,As Expected
106010937,Isolated CABG Operative Mortality,1.0,118.0,0.84,As Expected
106010937,Acute Stroke Subarachnoid,,,,
106010937,Heart Failure,15.0,613.0,2.2,As Expected
106010937,PCI,13.0,371.0,3.0,As Expected
106010937,Pneumonia,5.0,186.0,2.4,As Expected
106010937,Hip Fracture,2.0,119.0,1.3,As Expected
106010937,Acute Stroke Ischemic,13.0,278.0,5.5,As Expected
106010967,Pancreatic Resection,,,,
106010967,Carotid Endarterectomy,,,,
106010967,Heart Failure,6.0,219.0,3.4,As Expected
106010967,AMI,11.0,221.0,8.3,As Expected
106010967,Acute Stroke Subarachnoid,,,,
106010967,Elective PCI Emergency CABG,0.0,21.0,0.0,As Expected
106010967,Hip Fracture,0.0,22.0,0.0,As Expected
106010967,Pneumonia,7.0,170.0,6.7,As Expected
106010967,Elective PCI Stroke,0.0,21.0,0.0,As Expected
106010967,Elective PCI Mortality,0.0,21.0,0.0,As Expected
106010967,Acute Stroke Ischemic,3.0,58.0,11.0,As Expected
106010967,GI Hemorrhage,6.0,137.0,4.0,As Expected
106010967,PCI,5.0,175.0,4.9,As Expected
106010967,Acute Stroke,4.0,60.0,23.3,As Expected
106010967,Acute Stroke Hemorrhagic,,,,
106010987,Pneumonia,13.0,300.0,5.2,As Expected
106010987,Carotid Endarterectomy,0.0,29.0,0.0,As Expected
106010987,PCI,6.0,174.0,4.1,As Expected
106010987,Acute Stroke Hemorrhagic,12.0,67.0,21.5,As Expected
106010987,Acute Stroke,23.0,283.0,9.6,As Expected
106010987,GI Hemorrhage,5.0,314.0,2.1,As Expected
106010987,Acute Stroke Subarachnoid,3.0,20.0,27.5,As Expected
106010987,Acute Stroke Ischemic,8.0,196.0,5.3,As Expected
106010987,Pancreatic Resection,,,,
106010987,AMI,9.0,211.0,5.1,As Expected
106010987,Hip Fracture,2.0,79.0,5.1,As Expected
106010987,Isolated CABG Operative Mortality,1.0,94.0,1.34,As Expected
106010987,Heart Failure,15.0,395.0,4.4,As Expected
106013619,Acute Stroke Subarachnoid,,,,
106013619,Heart Failure,4.0,255.0,2.2,As Expected
106013619,Acute Stroke Hemorrhagic,,,,
106013619,PCI,,,,
106013619,Pneumonia,1.0,113.0,2.4,As Expected
106013619,Acute Stroke Ischemic,2.0,34.0,7.0,As Expected
106013619,Acute Stroke Hemorrhagic,,,,
106013619,Pneumonia,1.0,113.0,2.4,As Expected
106013619,GI Hemorrhage,3.0,91.0,4.7,As Expected
106013619,Acute Stroke,3.0,36.0,12.9,As Expected
106013619,Heart Failure,4.0,255.0,2.2,As Expected
106013619,GI Hemorrhage,3.0,91.0,4.7,As Expected
106013619,Pancreatic Resection,,,,
106013619,Hip Fracture,0.0,19.0,0.0,As Expected
106013619,Acute Stroke Ischemic,2.0,34.0,7.0,As Expected
106013619,AMI,0.0,15.0,0.0,As Expected
106013619,Carotid Endarterectomy,0.0,17.0,0.0,As Expected
106013619,Pancreatic Resection,,,,
106013619,PCI,,,,
106013619,Carotid Endarterectomy,0.0,17.0,0.0,As Expected
106013619,Acute Stroke,3.0,36.0,12.9,As Expected
106013619,Hip Fracture,0.0,19.0,0.0,As Expected
106013619,Acute Stroke Subarachnoid,,,,
106013619,AMI,0.0,15.0,0.0,As Expected
106014050,GI Hemorrhage,4.0,150.0,3.3,As Expected
106014050,Heart Failure,5.0,291.0,1.6,As Expected
106014050,Pancreatic Resection,,,,
106014050,Hip Fracture,0.0,79.0,0.0,As Expected
106014050,Acute Stroke Ischemic,1.0,70.0,1.9,As Expected
106014050,Acute Stroke Hemorrhagic,4.0,5.0,96.4,Worse
106014050,AMI,13.0,141.0,10.8,Worse
106014050,Isolated CABG Operative Mortality,2.0,38.0,6.27,As Expected
106014050,Carotid Endarterectomy,0.0,6.0,0.0,As Expected
106014050,Pneumonia,9.0,224.0,3.6,As Expected
106014050,Acute Stroke Subarachnoid,,,,
106014050,Acute Stroke,7.0,77.0,16.6,As Expected
106014050,PCI,4.0,112.0,6.8,As Expected
106014132,Acute Stroke Subarachnoid,1.0,4.0,10.3,As Expected
106014132,Pancreatic Resection,,,,
106014132,Acute Stroke Ischemic,4.0,84.0,4.5,As Expected
106014132,PCI,2.0,19.0,8.1,As Expected
106014132,GI Hemorrhage,3.0,101.0,3.0,As Expected
106014132,Pneumonia,1.0,93.0,1.0,As Expected
106014132,Acute Stroke Hemorrhagic,4.0,27.0,18.3,As Expected
106014132,Heart Failure,9.0,152.0,4.0,As Expected
106014132,Hip Fracture,0.0,83.0,0.0,As Expected
106014132,Carotid Endarterectomy,,,,
106014132,AMI,3.0,56.0,5.2,As Expected
106014132,Acute Stroke,9.0,115.0,7.3,As Expected
106014233,GI Hemorrhage,4.0,189.0,2.0,As Expected
106014233,Carotid Endarterectomy,0.0,12.0,0.0,As Expected
106014233,Acute Stroke Hemorrhagic,18.0,118.0,13.9,Better
106014233,Hip Fracture,3.0,109.0,2.2,As Expected
106014233,AMI,2.0,37.0,4.9,As Expected
106014233,Pneumonia,6.0,128.0,3.7,As Expected
106014233,PCI,,,,
106014233,Acute Stroke Ischemic,24.0,342.0,4.5,As Expected
106014233,Acute Stroke,61.0,533.0,7.8,As Expected
106014233,Acute Stroke Subarachnoid,19.0,73.0,25.7,As Expected
106014233,Pancreatic Resection,,,,
106014233,Heart Failure,2.0,235.0,0.8,Better
106014326,Pneumonia,9.0,179.0,4.7,As Expected
106014326,GI Hemorrhage,8.0,313.0,2.6,As Expected
106014326,PCI,4.0,37.0,10.2,As Expected
106014326,Heart Failure,23.0,836.0,2.5,As Expected
106014326,Hip Fracture,3.0,148.0,2.9,As Expected
106014326,Acute Stroke Ischemic,17.0,406.0,4.9,As Expected
106014326,Acute Stroke Subarachnoid,2.0,4.0,21.4,As Expected
106014326,Pancreatic Resection,1.0,76.0,1.5,As Expected
106014326,Carotid Endarterectomy,0.0,16.0,0.0,As Expected
106014326,AMI,11.0,182.0,4.6,As Expected
106014326,Acute Stroke,30.0,502.0,8.1,As Expected
106014326,Acute Stroke Hemorrhagic,11.0,92.0,16.0,As Expected
106014337,Hip Fracture,5.0,119.0,5.1,As Expected
106014337,GI Hemorrhage,8.0,147.0,7.8,Worse
106014337,PCI,,,,
106014337,Pneumonia,5.0,141.0,3.2,As Expected
106014337,Carotid Endarterectomy,0.0,36.0,0.0,As Expected
106014337,Acute Stroke,15.0,205.0,8.8,As Expected
106014337,Acute Stroke Subarachnoid,1.0,3.0,29.8,As Expected
106014337,Pancreatic Resection,,,,
106014337,Heart Failure,14.0,284.0,5.2,Worse
106014337,AMI,11.0,80.0,9.4,As Expected
106014337,Acute Stroke Ischemic,10.0,164.0,5.6,As Expected
106014337,Acute Stroke Hemorrhagic,4.0,38.0,14.2,As Expected
106034002,Heart Failure,6.0,62.0,8.0,Worse
106034002,Acute Stroke,5.0,70.0,14.3,As Expected
106034002,Acute Stroke Hemorrhagic,2.0,6.0,44.1,As Expected
106034002,GI Hemorrhage,0.0,63.0,0.0,As Expected
106034002,AMI,2.0,9.0,11.0,As Expected
106034002,Carotid Endarterectomy,,,,
106034002,Acute Stroke Ischemic,3.0,64.0,6.7,As Expected
106034002,Acute Stroke Subarachnoid,,,,
106034002,Hip Fracture,0.0,43.0,0.0,As Expected
106034002,Pneumonia,1.0,78.0,2.2,As Expected
106034002,PCI,,,,
106034002,Pancreatic Resection,,,,
106040802,Hip Fracture,,,,
106040802,Heart Failure,1.0,36.0,3.8,As Expected
106040802,Acute Stroke Subarachnoid,,,,
106040802,GI Hemorrhage,0.0,7.0,0.0,As Expected
106040802,Acute Stroke Hemorrhagic,,,,
106040802,Carotid Endarterectomy,,,,
106040802,PCI,,,,
106040802,AMI,0.0,6.0,0.0,As Expected
106040802,Acute Stroke,,,,
106040802,Pancreatic Resection,,,,
106040802,Acute Stroke Ischemic,,,,
106040802,Pneumonia,0.0,32.0,0.0,As Expected
106040875,GI Hemorrhage,1.0,112.0,0.7,As Expected
106040875,Acute Stroke,3.0,76.0,8.0,As Expected
106040875,PCI,,,,
106040875,Heart Failure,9.0,171.0,3.3,As Expected
106040875,Carotid Endarterectomy,0.0,10.0,0.0,As Expected
106040875,Hip Fracture,2.0,76.0,1.5,As Expected
106040875,Acute Stroke Subarachnoid,,,,
106040875,Pancreatic Resection,,,,
106040875,Acute Stroke Hemorrhagic,2.0,4.0,46.9,As Expected
106040875,Pneumonia,2.0,204.0,0.6,Better
106040875,AMI,0.0,31.0,0.0,As Expected
106040875,Acute Stroke Ischemic,1.0,72.0,2.0,As Expected
106040937,Acute Stroke Hemorrhagic,2.0,10.0,13.4,As Expected
106040937,AMI,5.0,46.0,6.5,As Expected
106040937,Acute Stroke,5.0,181.0,4.4,As Expected
106040937,Acute Stroke Ischemic,3.0,171.0,2.1,As Expected
106040937,PCI,,,,
106040937,Hip Fracture,1.0,71.0,0.6,As Expected
106040937,GI Hemorrhage,1.0,206.0,0.7,As Expected
106040937,Pancreatic Resection,,,,
106040937,Pneumonia,2.0,24.0,10.7,As Expected
106040937,Heart Failure,3.0,424.0,0.8,Better
106040937,Carotid Endarterectomy,0.0,9.0,0.0,As Expected
106040937,Acute Stroke Subarachnoid,,,,
106040962,Acute Stroke Subarachnoid,,,,
106040962,AMI,31.0,389.0,10.2,Worse
106040962,Heart Failure,21.0,583.0,3.5,As Expected
106040962,GI Hemorrhage,7.0,416.0,2.3,As Expected
106040962,Acute Stroke,33.0,350.0,11.0,As Expected
106040962,Pneumonia,14.0,394.0,4.2,As Expected
106040962,Carotid Endarterectomy,0.0,61.0,0.0,As Expected
106040962,Acute Stroke Ischemic,13.0,277.0,6.0,As Expected
106040962,Hip Fracture,4.0,209.0,1.7,As Expected
106040962,Isolated CABG Operative Mortality,3.0,149.0,2.41,As Expected
106040962,PCI,12.0,264.0,5.8,As Expected
106040962,Pancreatic Resection,,,,
106040962,Acute Stroke Hemorrhagic,19.0,71.0,25.6,As Expected
106050932,AMI,0.0,4.0,0.0,As Expected
106050932,Acute Stroke,2.0,19.0,19.7,As Expected
106050932,Acute Stroke Hemorrhagic,,,,
106050932,Acute Stroke Ischemic,2.0,18.0,11.7,As Expected
106050932,Heart Failure,0.0,35.0,0.0,As Expected
106050932,GI Hemorrhage,0.0,4.0,0.0,As Expected
106050932,PCI,,,,
106050932,Carotid Endarterectomy,,,,
106050932,Acute Stroke Subarachnoid,,,,
106050932,Hip Fracture,0.0,30.0,0.0,As Expected
106050932,Pancreatic Resection,,,,
106050932,Pneumonia,1.0,45.0,2.5,As Expected
106060870,Hip Fracture,,,,
